Date,Btc_Close,Eth_Close,Ltc_Close
2020-09-16,10959.61,365.23,47.74
2020-09-17,10943.61,389.45,48.88
2020-09-18,10937.52,384.64,48.55
2020-09-19,11080.0,385.23,48.48
2020-09-20,10920.89,370.69,47.09
2020-09-21,10416.82,340.11,43.13
2020-09-22,10531.13,344.26,44.49
2020-09-23,10235.1,320.63,42.95
2020-09-24,10740.01,349.14,44.94
2020-09-25,10690.53,352.11,46.04
2020-09-26,10730.0,354.13,46.06
2020-09-27,10778.2,357.55,46.07
2020-09-28,10695.55,353.91,45.21
2020-09-29,10840.73,359.9,45.69
2020-09-30,10779.63,359.89,46.32
2020-10-01,10617.63,352.9,46.16
2020-10-02,10573.12,345.7,44.9
2020-10-03,10551.65,346.18,45.56
2020-10-04,10671.11,352.48,46.71
2020-10-05,10795.0,353.73,46.35
2020-10-06,10602.66,340.78,46.0
2020-10-07,10670.47,341.68,46.58
2020-10-08,10933.09,351.25,47.24
2020-10-09,11057.07,365.36,47.82
2020-10-10,11299.5,370.75,48.9
2020-10-11,11374.01,374.38,50.48
2020-10-12,11535.46,386.74,50.61
2020-10-13,11428.22,381.37,49.97
2020-10-14,11427.7,378.97,49.84
2020-10-15,11509.34,377.94,49.58
2020-10-16,11328.95,365.57,47.64
2020-10-17,11367.89,368.48,46.93
2020-10-18,11514.2,378.58,47.58
2020-10-19,11760.45,379.36,48.01
2020-10-20,11923.83,368.81,46.95
2020-10-21,12808.0,391.53,53.13
2020-10-22,12987.02,414.7,54.42
2020-10-23,12937.09,409.52,55.46
2020-10-24,13126.24,412.58,59.21
2020-10-25,13045.0,406.46,58.85
2020-10-26,13068.79,393.12,56.89
2020-10-27,13698.18,404.55,58.18
2020-10-28,13281.05,388.63,55.84
2020-10-29,13460.0,387.6,54.94
2020-10-30,13571.51,382.77,54.08
2020-10-31,13804.81,386.74,55.68
2020-11-01,13771.59,396.91,55.65
2020-11-02,13563.22,383.33,53.85
2020-11-03,14035.8,388.32,54.02
2020-11-04,14161.48,403.18,54.75
2020-11-05,15608.21,417.17,59.04
2020-11-06,15599.95,456.65,63.29
2020-11-07,14834.09,435.73,58.94
2020-11-08,15482.9,454.61,60.99
2020-11-09,15342.25,444.81,59.25
2020-11-10,15315.03,450.89,57.99
2020-11-11,15705.79,463.79,59.33
2020-11-12,16310.81,462.98,60.74
2020-11-13,16339.56,477.14,66.01
2020-11-14,16082.01,461.16,63.85
2020-11-15,15966.89,448.58,62.37
2020-11-16,16726.64,460.85,73.83
2020-11-17,17679.36,482.68,76.41
2020-11-18,17782.91,478.96,73.48
2020-11-19,17821.58,471.92,81.62
2020-11-20,18675.25,510.43,82.64
2020-11-21,18721.21,553.07,87.13
2020-11-22,18437.66,560.82,82.96
2020-11-23,18384.82,609.26,89.18
2020-11-24,19172.84,605.45,89.34
2020-11-25,18721.93,568.79,81.75
2020-11-26,17170.0,520.34,71.11
2020-11-27,17153.95,519.07,69.2
